,title,date,url,hashtag,class
1240,DIY Recycling a T-Shirt|티셔츠 리폼|Blouse|블라우스|반팔|민소매                 |Sleeves|Refashion|안입는옷| 옷수선|옷만들기,2021-07-10,https://www.youtube.com/watch?v=IqI0mnRMBYo,#쉬운리폼 #핸드메이드 #쉽게만들기,1
13217,[COS] 코스 겨울 원브랜드 하울?? 이 집 패딩 코트 다잘하네..? 겨울패딩. 데일리 코트. 캐시미어 가디건. 와이드핏 청바지,2021-11-07,https://www.youtube.com/watch?v=NF_FOXgX3R0,#쇼핑하울 #겨울코트,1
4770,고급스런 아가일 원포인트 라이트아이보리 반터틀넥 스웨터 [CMW1ST02][BDW1ST02],2022-01-15,https://www.youtube.com/shorts/SNau2YC8Buw,,1
5431,아방드데님팬츠,2022-03-25,https://www.youtube.com/shorts/KG8cr6kxWSs,,1
323,키작남전용 '크롭가디건'과 '빼입'니트.. (구독자이벤트),2022-03-01,https://www.youtube.com/watch?v=YeSI-Op9wvo,,1
15354,레이온 텐셀 쉬폰 빅카라 반팔 블라우스 2color,2022-04-19,https://www.youtube.com/shorts/voHt4t81Dlo,,1
4920,가장 많이 팔리는 게스맨투맨 추천판매순위 top10 순위 상품평 후기 비교,2022-05-23,https://www.youtube.com/watch?v=bpbzVhN99T8,#게스진 #게스 #게스 #게스 #스파이더 #게스진 #게스 #게스,1
1970,[EP58] 반품비 아깝지 않아요? W컨셉에서 쇼핑하기 전에 꼭 보세요!,2022-03-15,https://www.youtube.com/watch?v=kaFxXU5LIoE,#파사드패턴 #던스트 #마론에디션 #마론에디션 #프론트로우 #프론트로우 #루에브르 #마지셔우드 #팬톤삭스,1
10986,일상 브이로그 | 자라 하울을 곁들인 트위드 자켓 소개 | 밀키트로 요리하는 하루 | 특별하진 않아도 기억하고 싶은 일상 이야기,2022-03-16,https://www.youtube.com/watch?v=3XfpHbJjSMk,#일상브이로그 #자라하울 #자라크롭자켓,1
13732,"행복여 | 롤링 골지 코듀로이 셔링 캉캉 원피스 | 23,500원 | 라이브방송 | 겨울원피스추천 | 겨울데일리룩",2021-12-29,https://www.youtube.com/shorts/Vm7rqTpjpas,,1
773,"total 2,200만원! 겨울 아우터 추천..! 마지막편 [아우터 100]",2021-12-21,https://www.youtube.com/watch?v=w1aOJyN0MI4,#아우터,1
5403,"졸업선물, 입학선물, 여자정장투피스세트, 크롭자켓 미니플리츠 주름치마 세트, 여성숏자켓치마세트",2022-03-18,https://www.youtube.com/watch?v=rYZusvUlLxo,#정장세트 #무료배송 #엄마가 #딸에게 #조카에게 #선물하고픈 #이쁜아이템 #졸업선물 #입학선물 #세련되고 #귀여운 #여성정장세트 #정장 #스커트정장세트 #크롭재킷 #숏자켓 #크롭자켓 #숏재킷 #카라자켓 #주름치마 #플리츠스커트 #미니스커트 #치마바지 #그녀들을위한멀티샵 #투어폴라리스 #온라인쇼핑몰,1
7997,한 끗 차이 꾸안꾸 코디 #shorts,2022-04-21,https://www.youtube.com/shorts/Vm6kSSafiW4,#꾸안꾸 #원피스코디,1
11218,[여름기본템] 더운 여름 꼭 필요한 여름 필수템 딱 13가지! + 있으면 더 좋은 트렌드아이템 7가지?? 패션의정석 여름편 Summer Essential,2021-07-27,https://www.youtube.com/watch?v=VflDF33rk-E,#기본템 #여름기본템,1
16091,2022년 가장 많이 팔린 청치마 상품 추천순위 top10,2022-03-21,https://www.youtube.com/watch?v=sWFa52OOMk0,#수비진 #잘빠진 #잘빠진 #수비진 #포플러앤씨 #패션풀 #수비진 #네모 #나바바,1
2400,1분안에 네셔널지오그래픽바람막이 가성비 상품 추천순위 top10 정리,2022-04-23,https://www.youtube.com/watch?v=tc_Ho_nQVxg,#내셔널지오그래픽 #디스커버리 #네셔널지오그래픽 #내셔널지오그래픽 #내셔널지오그래픽 #스타일에스 #내셔널지오그래픽 #내셔널지오그래픽 #내셔널지오그래픽,1
15087,?? 하이넥 맥시 니트 롱원피스 ??,2022-01-24,https://www.youtube.com/shorts/z-oJcJdOlYU,#부츠 #코트 #무스탕 #가죽코트 #레더코트 #양털무스탕 #양 #가죽 #레더 #롱코트,1
6638,“너도 할 수 있어!” 일반인이 스타일링한 종류별 코트 스타일링  [무탠 스타일링],2021-10-12,https://www.youtube.com/watch?v=K9amMdUVK40,#무신사 #무탠다드 #코트 #무신사코트 #무탠다드코트 #코트추천 #가을코트 #검정코트 #가을겉옷 #가을옷추천 #깔끔한코트 #미니멀코트 #유아인코트 #미니멀룩 #출근룩,1
14518,[ENG](VLOG) 집에만 있기 너무 답답????? / 간단 가을 하울/ 카페/ 콧바람 쐬고 온 브이로그,2021-09-30,https://www.youtube.com/watch?v=BWgCldC-SZM,,1
1088,BTS잠옷 11.9만원 쁘걸 소주잔 5.5만원? 어서와 K굿즈에 지갑을 열어야지 / 비디오머그,2022-01-05,https://www.youtube.com/watch?v=vIox38PWuJA,#진 #굿즈,1
6739,남자가 파는 원피스 콩단추 꽃무늬 쉬폰 #Shorts,2021-07-16,https://www.youtube.com/shorts/l8pwoTTEli4,#원피스 #원피스파는남자 #주도왕 #제품판매,1
766,봄 아우터 사기전에 보세요!! 오대리의 가성비 대리쇼핑 가즈앗!!,2022-02-15,https://www.youtube.com/watch?v=qeBbO4EDpmI,#남자봄옷 #남자봄아우터 #대리쇼핑,1
14163,"VLOG 일상 브이로그 | W컨셉 팝업스토어, 프롬비기닝 코듀로이 팬츠, willys, 올리브영, 유니클로, 아쿠아가든 카페????, 쇼핑 브이로그, 직장인 브이로그",2021-11-08,https://www.youtube.com/watch?v=uq77BYLCsD4,,1
437,#가죽자켓 지금 놓치면 못 입지 ?? ! #남자봄코디 #레더,2022-03-16,https://www.youtube.com/shorts/gf-H2aDCpoc,,1
8423,남자에게 흰색 와이셔츠란 #Shorts,2022-04-19,https://www.youtube.com/shorts/aQB2F_bK1y4,#설백 #공파리파,1
7688,봄 여름 입기 좋은 크롭탑 뷔스티에?? 하루만에 끝! 기초 테크닉만으로 쉽게 완성하는 나만의 옷｜How to knit&crochet a croptop bustier,2022-05-15,https://www.youtube.com/watch?v=8p4FAbB8Xrs,#코바늘뷔스티에 #코바늘조끼 #코바늘베스트 #코바늘크롭탑 #코바늘옷뜨기 #뷔스티에뜨기 #뷔스티에뜨기 #뷔스티에만들기 #코바늘여름옷뜨기,1
11275,드레스셔츠(와이셔츠)칼라만들기1,2021-09-07,https://www.youtube.com/watch?v=pmS2tcaGlV0,,1
12013,취향대로 다 모아본 간절기 코디 룩북???? 롱부츠 코디 ? 데이트룩 ? 오피스룩 ? 꾸안꾸룩 ? 가을 데일리룩 ? 여름 ? 출근룩 ? 키작녀 룩북,2021-08-26,https://www.youtube.com/watch?v=Ivoez7HjD_M,,1
48,"스마일 티셔츠, 밴딩 바지, 꽃 바지, 롱 원피스 여자 여름 옷 추천,코디",2022-04-26,https://www.youtube.com/watch?v=6n2R7dPXYHY,#스마일티셔츠 #밴딩바지 #꽃바지 #롱원피스 #체크조끼 #바람막이 #기모바지 #스판바지 #기모티셔츠 #사계절셔츠 #폴라티 #머리핀 #양말 #청바지 #코듀로이 #스트라이프 #목도리 #반집업 #원피스 #패딩바지 #누빔바지 #맨투맨 #니트 #양털점퍼 #리버시블점퍼 #티셔츠 #베스트 #후드점퍼 #밍크자켓 #슬링백구두,1
14521,"[일상공감] 겨울옷, 겨울이불 정리할 날이 얼마 남지 않았다 ???♀? #납작하게",2022-04-05,https://www.youtube.com/watch?v=GX4Jn8eR1Ps,#일상공감 #겨울옷보관 #겨울이불보관 #압축팩 #옷정리 #이불정리 #공간활용 #두꺼운옷 #패딩보관 #행거압축팩 #한팩에네벌 #넉넉한거치 #강력압축 #옷장정리 #서랍장정리 #이사짐 #간편보관 #밀폐력 #압축보관 #겨울외투 #계절옷정리 #습기 #먼지 #곰팡이 #방지,1
1482,레닉 데님 오버롤 팬츠,2022-02-11,https://www.youtube.com/shorts/Dq0lw8EvVps,#라뷰 #데일리룩 #쇼핑몰추천 #여자쇼핑몰 #와이드팬츠코디 #와이드슬랙스코디 #트레이닝셋업,1
14269,vlog 스걸파 내 인생 책임져 | 겨울옷 쇼핑 | 첫눈 | 스탠리 텀블러 | 12월 일상??,2022-01-12,https://www.youtube.com/watch?v=v2PDOGSIVGE,,1
8116,연청이 너무 잘 어울리는 남자 #Shorts,2021-07-10,https://www.youtube.com/shorts/EgfIMDw3sfE,,1
14055,[브이로그] vlog 줌마 미니스커트  당구 한판  어때요? 바니줌마/미니스커트/vlog/mini skirt/,2021-10-04,https://www.youtube.com/watch?v=b7eiTyVjwTw,#줌마 #아줌마 #브이로그 #바니줌마 #미니스커트 #일상,1
5121,상상만 하던 편집샵 드디어 오픈했습니다 ㅜㅜ 【prtprt shop】,2022-03-10,https://www.youtube.com/watch?v=IdMLjkRavfw,,1
14396,작정하고 영업하는 패션하울?? 늦 가을 아우터 추천 16가지 fashion items 데일리룩 ootd | 지끼루 JIKKIROO,2021-10-23,https://www.youtube.com/watch?v=PqPvq7wpG1M,#포이어 #커렌트 #타입서비스웹 #스투시 #러브코드유,1
3428,'BTS 잠옷' 고가 논란...제작 참여한 멤버도 '갸우뚱' / YTN,2022-01-03,https://www.youtube.com/watch?v=ty6FCET3w5Q,,1
641,8만원대의 가성비 MA-1 살만 할까?! ?? 【쇼핑디렉터】【유료광고】,2022-03-09,https://www.youtube.com/watch?v=TqUWcM-M3ew,,1
6582,타란토 커플 플리츠 밴딩 팬츠,2021-06-06,https://www.youtube.com/shorts/dtxtlh8dCSU,,1
8005,광고 노스페이스반팔티 나만 알고 싶은! 소개해요 추천 TOP10,2022-05-14,https://www.youtube.com/watch?v=PRUUgFXMd0A,#노브라티 #알파 #간쓰리 #디커버스,1
7509,요즘 자주 보이는 핸드폰 케이스?? 기종 NO상관! 갤럭시S 갤럭시Z플립 아이폰까지 싹 껴봄??!,2022-05-17,https://www.youtube.com/watch?v=wVve8F7Hsu8,#케이스티파이 #폰케이스 #아이폰 #갤럭시케이스 #지플립케이스,0
8540,패딩은 그만! 봄을 준비하는 옷잘입는 남자들,2022-02-15,https://www.youtube.com/watch?v=nT98TeifVKw,#남자봄옷 #후드티 #맨투맨 #니트,1
16285,A line 에이라인 스커트 만들기.  패턴 샘플,2021-10-27,https://www.youtube.com/watch?v=j-eUynlVTF0,,1
13480,짧은 치마 일자 플레어 스커트 short skirt straight flare skirt,2021-09-06,https://www.youtube.com/watch?v=5ZWA6evFua8,,1
9905,??메이브라운? 아가일패턴네일 패턴네일 Patternnail | 셀프네일 셀프젤네일 젤네일재료 네일재료 셀프네일재료,2022-02-21,https://www.youtube.com/watch?v=uKWE_Ch-730,#아가일패턴네일 #아가일네일 #패턴네일,0
16469,옐로우맨 점프슈트! ㅣ옐로우맨ㅣ안전맨 시리즈,2021-09-26,https://www.youtube.com/shorts/E4b3TGnlISY,#안전맨 #안전보건 #유괴예방 #유괴 #안전 #안전어린이 #옐로우맨 #코믹,1
8380,세미 오버핏 옥스포드 셔츠,2022-03-13,https://www.youtube.com/shorts/nR0xJb9IPtg,,1
689,아노락(Anolock) - Rainy Day | 가사 (Lyrics),2021-11-25,https://www.youtube.com/watch?v=omTU13oiEN0,,0
15568,가을 옷 쇼핑로그 (feat. 제이르모브) | 맨디스플래닛,2021-10-17,https://www.youtube.com/watch?v=iL4_nJPqbPo,#쇼핑 #브이로그 #제이르모브 #패션 #가을옷 #레오파드 #원피스 #쇼핑로그 #맨디스플래닛 #맨디 #이민지 #미스코리아이민지,1
15633,카라배색니트원피스,2021-08-16,https://www.youtube.com/watch?v=Nh6hctfgpM0,,1
11009,잠깐!! 니트 사려구?! 니트 구매전 참고하세요! 가을 니트 추천??,2021-10-16,https://www.youtube.com/watch?v=m-qpi-zwWTg,#가을니트추천 #니트추천 #가디건추천,1
228,A3900 블루밍앙고라싱글,2021-09-19,https://www.youtube.com/watch?v=nUeF3tE_lIk,,1
12340,10대~20대 주목! 가성비 왕  '라퍼지스토어 가죽자켓' 추천! [제품 특징 / 사이즈 / 추천&비추천][유료광고],2022-02-02,https://www.youtube.com/watch?v=YoVSzkn_ae8,,1
3592,DEKAVV 22 SPRING 오버핏 자켓+와이드 슬랙스 with 앵두,2022-02-22,https://www.youtube.com/watch?v=3z8ZHGAFZUY,,1
1597,153 키작녀 조거팬츠 찾아따 ???? 핫한 트레이닝복 하울?? | 그로브스토어 하이탑 | 마뗑킴,2022-05-31,https://www.youtube.com/watch?v=lMwI3tLtOtU,#그로브스토어 #마뗑킴,1
7486,진짜! 인기있는! 여성가죽자켓 비교 추천 TOP10,2021-12-19,https://www.youtube.com/watch?v=7ul_IGBZzAU,#타니즈 #엠마돈 #머머다 #데일리 #오버사이즈 #이제자켓 #레이디볼륨 #옷싸구 #패션 #클라비스,1
932,"2022 남자 캐주얼, 스트릿, 남친룩 여름 코디 모음!",2022-04-24,https://www.youtube.com/watch?v=jV7-yP2FkVM,#여름코디 #남자여름코디 #여름코디추천,1
12509,"행복한여자 | 세미 크롭 기모 후드 밴딩 플레어 스커트 세트 | 23,500원 | 라이브방송",2021-11-09,https://www.youtube.com/shorts/YKXJilb9eKQ,,1
2243,?? 맨투맨?후드티? 기본아이템 고르는법 !!,2021-10-01,https://www.youtube.com/watch?v=30DXiITv_c8,#기본아이템 #기본맨투맨 #로맨틱파이어리츠,1
13152,백화점퀄리티 롱 머메이드 스커트,2021-12-04,https://www.youtube.com/shorts/GMqy1CopJkQ,,1
10667,"(ENG sub) [쇼! 음악중심] 레드벨벳 - 필 마이 리듬 (Red Velvet - Feel My Rhythm), MBC 220326 방송",2022-03-26,https://www.youtube.com/watch?v=4mDmxJ7TWtI,,0
9236,NEW│22 SS SO MIXXO COLLECTION,2022-02-08,https://www.youtube.com/watch?v=ZBQzw5s8qAM,,1
15004,"30초 컷 | 가을코디 11가지 & 옷 돌려입기 끝판왕 | 가을 하객룩, 출근룩, 가을 데일리룩 #shorts",2021-09-26,https://www.youtube.com/shorts/dmEZBJQDMCE,,1
7148,"이제는 중고쇼핑도 유튜브에서 / 아더에러/ 블레이저/ 가죽자켓/ 크롭자켓 (당근마켓, 번개장터, 중고나라)",2021-10-24,https://www.youtube.com/watch?v=Ubd8oxb1d8M,,1
709,"May 2nd market ,158/47 lookbook ♥ 린넨소재로 시원하고 데일리한 #출근룩 부터 #제주도여행룩 까지 ! #썸머무드 에서 준비한 룩북보고 가세요 ? 단영 ??",2022-05-28,https://www.youtube.com/watch?v=2hWtY27XhAo,#썸머무드 #여름코디 #대학생룩 #키작녀룩 #키작녀코디 #데일리룩 #페스티벌 #마뗑킴,1
909,"""어떤 남자 스타일이 좋아?"" 훈남 4명과 이상형 데이트 (댄디, 섹시, 퇴폐, 큐티, 힙, 스트릿)│물어봤다 [ENG CC]",2021-10-05,https://www.youtube.com/watch?v=socGvG3HpPw,,1
6412,"아우터형 오버핏 체크 셔츠(ZWW23942,ZWW41974,ZWW31992)",2021-12-22,https://www.youtube.com/shorts/xFymN2xQ9Zg,#지오송지오,1
6405,최근 발매&유행 신발 유출이 되어 버렸다~!,2022-03-17,https://www.youtube.com/watch?v=ufzzZ0jHOrA,,1
15340,한 뼘 청치마 #미인미녀,2022-04-25,https://www.youtube.com/shorts/F1q4LXL1NVE,,0
1382,여자들이 좋아하는 남친룩? 저라면 이코트를 입습니다.(feat.남자겨울코트코디),2021-10-31,https://www.youtube.com/watch?v=kFai8-uJEPU,#남자코트추천 #남자겨울코트 #드로우핏 #겨울코트코디,1
7628,"내가 가진 기본템에 다 잘 어울리는 트위드자켓은?자라,신세계 룩북1탄/뭘로 사야 할지 모르겠다면 골라드릴게요~",2022-03-06,https://www.youtube.com/watch?v=IOVkDLU8qH0,,1
7146,운동한다면 꼭 필요한 비다 크롭탑 #쇼츠 #shorts #크롭티 #비다크롭탑,2022-03-21,https://www.youtube.com/shorts/Vq81-b0rq20,,1
12499,"이 옷 어디서 샀어? ??ZARA?? 패션하울! 10ITEM 니트, 원피스, 스커트, 코트 추천",2021-11-21,https://www.youtube.com/watch?v=-hqY1X16XZM,,1
4823,봄 남친룩 필수템! 가디건 대량 리뷰 & 코디 Tip,2022-03-06,https://www.youtube.com/watch?v=a5sB7wr_FV0,,1
3298,??이.잘.산 8월?? 텐션 뭐니? 나 정말 너무 신났다 ㅎㅎ,2021-09-01,https://www.youtube.com/watch?v=Sod4X2Oa2oc,#이잘산 #멜로우,1
11285,청자켓코디 이렇게만 입어요!! 쉬운 데님자켓 코디가이드!!,2021-10-07,https://www.youtube.com/watch?v=npovn_dIWbM,,1
13483,뮤지컬 학원갔다 가을옷 사러간 일상 브이로그!! 일상영상,2021-09-21,https://www.youtube.com/watch?v=p4fZ60kRx6E,#간니닌니 #간니닌니일상 #가을옷쇼핑,1
16506,안보면 손해??누구나 소화가능한 겨울룩북으로 돌아왔어요??내돈내산 WINTER LOOKBOOK,2021-12-17,https://www.youtube.com/watch?v=L0UyKuvlI3w,#태리태리 #겨울룩북 #여자코디,1
12761,WRAP ME IN '21FW New Arrivals' Dress del Luna??,2021-07-25,https://www.youtube.com/shorts/vcQAqObSFwk,,1
16271,아린 테니스치마14 #shorts,2022-02-17,https://www.youtube.com/shorts/l_FbWEEA-pA,#아린 #오마이걸 #테니스치마,1
16421,아모르 에스닉 브이넥 루즈핏 쉬폰 블라우스/여성 블라우스 추천,2021-07-22,https://www.youtube.com/shorts/np_Yvv_cLHs,,1
14226,시어 레더 미니 스커트,2021-10-31,https://www.youtube.com/shorts/xc8oZ3xZKEA,,1
12410,[국내제작]레터링 프린팅 박시 후드 집업 4Color - 화이트,2021-09-21,https://www.youtube.com/shorts/XlOa0Gi_GO0,,1
4549,가을자켓 하울ㅣ #156 #167 패션회사 MD 디자이너 픽 ㅣ 지그재그 아우터 룩북,2021-09-15,https://www.youtube.com/watch?v=KDxR9eONaS4,#자켓 #아우터 #지그재그 #코디 #룩북 #꾸안꾸 #패션하울 #코트 #가방추천 #숏자켓 #자켓코디 #키작녀 #데일리룩 #에이치모드 #가내스라 #마르디메크르디 #니어웨어 #나이키 #피스마이너스원 #애즈윗 #언더비 #메리어라운드 #크렘므 #에이인 #셀린느 #셀린 #폴코백 #부츠코디 #프렌치시크 #프렌치룩 #가을자켓 #디자이너 #패션 #내돈내산 #직장인코디,1
12270,스트릿은 무조건 ‘크게’ 입어야 한다?! 나에게 맞는 핏은??? 【데일리룩피드백】,2021-11-28,https://www.youtube.com/watch?v=0TbmIxQdhmk,#데일리룩 #핏 #피드백,1
16451,"행복여 | 홀릭 도트 땡땡이 프릴 플리츠 밴딩 스커트 | 14,800원 | 라이브방송 | 플리츠스커트 | 데일리치마",2022-02-10,https://www.youtube.com/shorts/RPRxw9AGmMI,,1
14554,??인쇼 봄옷 하울 | 예쁜 봄 아이템 모아모아! | 봄 룩북 | 봄 코디 | 가성비템 | 봄옷 추천 | spring lookbook | fashion haul,2022-04-12,https://www.youtube.com/watch?v=ciN7EN8O50E,,1
14097,??+?*♡??*.봄 에서 여름 사이 러블리 키치 룩북+?*♡??*.+???,2022-05-05,https://www.youtube.com/watch?v=TLNDcSNg7k8,,1
14594,"""다시 떠오르는 눕시"" 코듀로이에 숏패딩 걸쳐 겨울룩 완성하는 요즘 20대 패션 근황",2021-12-28,https://www.youtube.com/watch?v=wzlPa8li69M,#노스페이스 #숏패딩,1
6323,메이플M 누가 윈붕이라 했냐 ㅋㅋ (스우 클 영상),2022-01-28,https://www.youtube.com/watch?v=_gL3Dz5csIo,#스우 #메이플 #메이플 #메이플스토리 #메이플스토리 #윈드브레이커 #윈브 #군단장,0
9328,(eng) GRWM. 남자 꾸안꾸 데일리 메이크업?| 재밌는 꿈 ? 디올 쿠션 솔직리뷰 ? 강아지 입양 등 ??? | JEROME 제롬,2022-01-28,https://www.youtube.com/watch?v=2WTn_8xogPo,,0
4548,210820 studio 문나잇?문별?moonnight[81]-with 그레이,2021-08-21,https://www.youtube.com/watch?v=vkCWmXSCLhw,,0
15160,2022 플리츠 반팔 허리벨트 슬림  미디 스커트 원피스,2021-12-28,https://www.youtube.com/shorts/1-EVQJ8XYHQ,#도매 #플리츠,1
11746,실수로 만능 더비를 만들어버렸습니다..?? 【리뷰&하울】,2022-03-18,https://www.youtube.com/watch?v=NljW1gBJNmQ,,1
10858,"[방탄/알엠] 조거팬츠사랑하는 사람은 ""어맛! 무족권 사야해!!"" 아미조거팬츠 (feat.무릎발사 조금 있음)",2022-01-04,https://www.youtube.com/watch?v=KuBqTZkZX5M,#알엠 #김남준 #방탄 #방탄소년단 #아미조거팬츠,1
3271,사진을 찍을 때 흔히 실수하는 것들(feat.꿀팁 대방출),2022-02-17,https://www.youtube.com/watch?v=j3EeIoe4V3g,,0
3820,"간편하게 김치 자국, 얼룩, 목 때, 찌든 때 빼는 방법",2021-05-30,https://www.youtube.com/watch?v=Fh3jkxUGRJ0,,0
3980,모달 덕후의 원브랜드 잠옷 하울 ?? | 아임레이나,2022-01-28,https://www.youtube.com/watch?v=jmTrMlG6Vx8,#조스라운지 #잠옷 #하울,1
407,2장묶음 (1+1) 오버핏 골지 반집업 니트 맨투맨,2022-03-03,https://www.youtube.com/watch?v=dt5qcP4Xm44,,1
2255,이건 못참지..여자가 좋아하는 남자 여름 옷 1등은? [1편],2021-06-24,https://www.youtube.com/watch?v=o-nj8IV4eNk,#남자여름패션 #남자반팔티 #여자들이좋아하는,1
5603,"남자 롱슬리브 브랜드 추천 | 5종 비교 리뷰! ?????♂?               [단품, 이너]",2021-09-08,https://www.youtube.com/watch?v=CVtfy5t9sRk,,1
2356,갤럭시 미니원피스 (밑단정리),2022-02-23,https://www.youtube.com/watch?v=tDjAhjW3fnE,#갤럭시미니원피스 #대바늘원피스,1
8778,가성비 굿 나이키바람막이 가격 리뷰 비교 추천순위 top10,2022-04-26,https://www.youtube.com/watch?v=poXS4TNu-28,#나이키 #나이키 #나이키 #나이키 #나이키 #나이키 #콘피아르 #콘피아르 #나이키 #콘피아르,1
7245,광고 여자청자켓 진짜! 인기있는! 깔끔하게 정리했어요 추천 TOP10,2022-05-10,https://www.youtube.com/watch?v=q8aAo7wShsk,#메리앤유 #머시따 #여성용 #여성 #메리앤유 #메리앤유 #떳다그녀 #세컨핑크 #바블링브룩,1
3413,노멀쉐이크 153 연청 세미 와이드 데님팬츠,2022-02-16,https://www.youtube.com/shorts/yoCAN9A7AgY,,1
9574,대부분 모르는 티셔츠 세탁방법,2022-05-26,https://www.youtube.com/shorts/UD322wvjyX4,,1
6858,3만원! 말안되는 반팔니트 만들었다 [콜라보왕 ep7],2022-04-26,https://www.youtube.com/watch?v=yUjid15WGoU,#반팔티 #반팔니트 #미나브,1
13397,스커트랑?? #데이트룩 #여친룩#인기급상승동영상 #apm #korea #穿搭 #穿搭分享 #도매 #의류 #상큼한,2022-05-06,https://www.youtube.com/shorts/uHRtRPvZf-0,,1
14264,"봄쇼핑 폭주중??하울&후기 | 봄옷, 가방, 신발들?? 토즈 토트백,아카이브앱크,니트, 슬랙스,아우터, Tod's t tote bag and fashion haul",2022-03-18,https://www.youtube.com/watch?v=JSkOIsoXHKY,,1
9123,코트핏이 예술,2021-10-06,https://www.youtube.com/shorts/dd6GtIZdaWI,,1
1501,"행복한여자 | 은은한 밑단 레이스 포인트 루즈핏 기모 후드 롱 원피스 | 21,900원 | 라이브방송",2021-11-05,https://www.youtube.com/shorts/XMewA4fsf-4,,1
1163,"6월 룩북 | 쇼핑 하울 & 후기 #오오티디 (feat.수다) | 초강추 린넨자켓, 억만년만에 지른 가방, 주얼리언박싱",2021-07-03,https://www.youtube.com/watch?v=wO38qytF_yM,#오오티디 #룩북 #여름데일리룩 #여름코디 #하울 #패션하울 #여름패션하울 #꾸안꾸 #쇼핑하울,1
